timestamp: Fri Feb 15 04:00:00 EST 2019
rank,test,barrier,time
2,1,0,0.089020
2,1,1,0.088061
2,2,0,0.082429
2,2,1,0.084718
2,3,0,0.090005
2,3,1,0.083473
2,4,0,0.081637
2,4,1,0.084341
2,5,0,0.076353
2,5,1,0.088232
2,6,0,0.075754
2,6,1,0.079862
2,7,0,0.087793
2,7,1,0.088999
4,1,0,0.049165
4,1,1,0.051176
4,2,0,0.050219
4,2,1,0.051863
4,3,0,0.050834
4,3,1,0.051096
4,4,0,0.048512
4,4,1,0.049924
4,5,0,0.041920
4,5,1,0.050963
4,6,0,0.048475
4,6,1,0.052926
4,7,0,0.049389
4,7,1,0.058117
8,1,0,0.026889
8,1,1,0.031602
8,2,0,0.030342
8,2,1,0.028044
8,3,0,0.024521
8,3,1,0.027035
8,4,0,0.028127
8,4,1,0.030201
8,5,0,0.026528
8,5,1,0.030608
8,6,0,0.026859
8,6,1,0.027317
8,7,0,0.026271
8,7,1,0.032272
16,1,0,0.013741
16,1,1,0.016200
16,2,0,0.015545
16,2,1,0.014597
16,3,0,0.013983
16,3,1,0.017942
16,4,0,0.014525
16,4,1,0.015387
16,5,0,0.016063
16,5,1,0.014882
16,6,0,0.013900
16,6,1,0.014162
16,7,0,0.013976
16,7,1,0.020322
32,1,0,0.008908
32,1,1,0.008765
32,2,0,0.007996
32,2,1,0.011040
32,3,0,0.009697
32,3,1,0.008615
32,4,0,0.008055
32,4,1,0.008645
32,5,0,0.008179
32,5,1,0.008608
32,6,0,0.009503
32,6,1,0.008804
32,7,0,0.008892
32,7,1,0.012096
2,1,0,0.083696
2,1,1,0.086197
2,2,0,0.090205
2,2,1,0.084362
2,3,0,0.083345
2,3,1,0.085569
2,4,0,0.086136
2,4,1,0.084795
2,5,0,0.087152
2,5,1,0.084890
2,6,0,0.075800
2,6,1,0.085891
2,7,0,0.089509
2,7,1,0.083529
4,1,0,0.049568
4,1,1,0.058722
4,2,0,0.050104
4,2,1,0.053653
4,3,0,0.046907
4,3,1,0.051993
4,4,0,0.047761
4,4,1,0.051351
4,5,0,0.049503
4,5,1,0.055439
4,6,0,0.046608
4,6,1,0.043776
4,7,0,0.049813
4,7,1,0.043106
8,1,0,0.031398
8,1,1,0.029009
8,2,0,0.024911
8,2,1,0.027630
8,3,0,0.027648
8,3,1,0.027957
8,4,0,0.026510
8,4,1,0.027930
8,5,0,0.026703
8,5,1,0.027923
8,6,0,0.030206
8,6,1,0.027046
8,7,0,0.023249
8,7,1,0.027549
16,1,0,0.013659
16,1,1,0.019045
16,2,0,0.016515
16,2,1,0.015347
16,3,0,0.016795
16,3,1,0.016378
16,4,0,0.014833
16,4,1,0.014507
16,5,0,0.013433
16,5,1,0.014860
16,6,0,0.014207
16,6,1,0.014596
16,7,0,0.018793
16,7,1,0.014595
32,1,0,0.008369
32,1,1,0.010763
32,2,0,0.008267
32,2,1,0.008601
32,3,0,0.007996
32,3,1,0.008769
32,4,0,0.008228
32,4,1,0.008485
32,5,0,0.008171
32,5,1,0.011200
32,6,0,0.009161
32,6,1,0.010053
32,7,0,0.008069
32,7,1,0.008706
2,1,0,0.084710
2,1,1,0.088151
2,2,0,0.084229
2,2,1,0.084455
2,3,0,0.082750
2,3,1,0.084387
2,4,0,0.082563
2,4,1,0.083434
2,5,0,0.083418
2,5,1,0.077806
2,6,0,0.084774
2,6,1,0.078454
2,7,0,0.083915
2,7,1,0.084849
4,1,0,0.041143
4,1,1,0.049249
4,2,0,0.050927
4,2,1,0.051813
4,3,0,0.053654
4,3,1,0.050541
4,4,0,0.047895
4,4,1,0.040501
