timestamp: Fri Feb 15 00:40:51 EST 2019
rank,test,barrier,time
rank 2, test 1, use_barrier 0time in seconds: 0.086663, (use_barrier: 0, ranks: ./a.out)
rank 2, test 1, use_barrier 1time in seconds: 0.085704, (use_barrier: 1, ranks: ./a.out)
rank 2, test 2, use_barrier 0time in seconds: 0.094011, (use_barrier: 0, ranks: ./a.out)
rank 2, test 2, use_barrier 1time in seconds: 0.086696, (use_barrier: 1, ranks: ./a.out)
rank 2, test 3, use_barrier 0time in seconds: 0.082127, (use_barrier: 0, ranks: ./a.out)
rank 2, test 3, use_barrier 1time in seconds: 0.093101, (use_barrier: 1, ranks: ./a.out)
rank 2, test 4, use_barrier 0time in seconds: 0.084735, (use_barrier: 0, ranks: ./a.out)
rank 2, test 4, use_barrier 1time in seconds: 0.077205, (use_barrier: 1, ranks: ./a.out)
rank 2, test 5, use_barrier 0time in seconds: 0.086528, (use_barrier: 0, ranks: ./a.out)
rank 2, test 5, use_barrier 1time in seconds: 0.079939, (use_barrier: 1, ranks: ./a.out)
rank 2, test 6, use_barrier 0time in seconds: 0.081959, (use_barrier: 0, ranks: ./a.out)
rank 2, test 6, use_barrier 1time in seconds: 0.084174, (use_barrier: 1, ranks: ./a.out)
rank 2, test 7, use_barrier 0time in seconds: 0.084515, (use_barrier: 0, ranks: ./a.out)
rank 2, test 7, use_barrier 1time in seconds: 0.087425, (use_barrier: 1, ranks: ./a.out)
rank 4, test 1, use_barrier 0time in seconds: 0.049995, (use_barrier: 0, ranks: ./a.out)
rank 4, test 1, use_barrier 1time in seconds: 0.056874, (use_barrier: 1, ranks: ./a.out)
rank 4, test 2, use_barrier 0time in seconds: 0.043180, (use_barrier: 0, ranks: ./a.out)
rank 4, test 2, use_barrier 1time in seconds: 0.050685, (use_barrier: 1, ranks: ./a.out)
rank 4, test 3, use_barrier 0time in seconds: 0.049036, (use_barrier: 0, ranks: ./a.out)
rank 4, test 3, use_barrier 1time in seconds: 0.048978, (use_barrier: 1, ranks: ./a.out)
rank 4, test 4, use_barrier 0time in seconds: 0.049776, (use_barrier: 0, ranks: ./a.out)
rank 4, test 4, use_barrier 1time in seconds: 0.042690, (use_barrier: 1, ranks: ./a.out)
rank 4, test 5, use_barrier 0time in seconds: 0.046257, (use_barrier: 0, ranks: ./a.out)
rank 4, test 5, use_barrier 1time in seconds: 0.041594, (use_barrier: 1, ranks: ./a.out)
rank 4, test 6, use_barrier 0time in seconds: 0.050849, (use_barrier: 0, ranks: ./a.out)
rank 4, test 6, use_barrier 1time in seconds: 0.050411, (use_barrier: 1, ranks: ./a.out)
rank 4, test 7, use_barrier 0time in seconds: 0.049451, (use_barrier: 0, ranks: ./a.out)
rank 4, test 7, use_barrier 1time in seconds: 0.058069, (use_barrier: 1, ranks: ./a.out)
rank 8, test 1, use_barrier 0time in seconds: 0.031247, (use_barrier: 0, ranks: ./a.out)
rank 8, test 1, use_barrier 1time in seconds: 0.027097, (use_barrier: 1, ranks: ./a.out)
rank 8, test 2, use_barrier 0time in seconds: 0.025371, (use_barrier: 0, ranks: ./a.out)
rank 8, test 2, use_barrier 1time in seconds: 0.026844, (use_barrier: 1, ranks: ./a.out)
rank 8, test 3, use_barrier 0time in seconds: 0.029922, (use_barrier: 0, ranks: ./a.out)
rank 8, test 3, use_barrier 1time in seconds: 0.030662, (use_barrier: 1, ranks: ./a.out)
rank 8, test 4, use_barrier 0time in seconds: 0.028967, (use_barrier: 0, ranks: ./a.out)
rank 8, test 4, use_barrier 1time in seconds: 0.027238, (use_barrier: 1, ranks: ./a.out)
rank 8, test 5, use_barrier 0time in seconds: 0.026390, (use_barrier: 0, ranks: ./a.out)
rank 8, test 5, use_barrier 1time in seconds: 0.031850, (use_barrier: 1, ranks: ./a.out)
rank 8, test 6, use_barrier 0time in seconds: 0.026803, (use_barrier: 0, ranks: ./a.out)
rank 8, test 6, use_barrier 1time in seconds: 0.028012, (use_barrier: 1, ranks: ./a.out)
rank 8, test 7, use_barrier 0time in seconds: 0.026751, (use_barrier: 0, ranks: ./a.out)
rank 8, test 7, use_barrier 1time in seconds: 0.025527, (use_barrier: 1, ranks: ./a.out)
rank 16, test 1, use_barrier 0time in seconds: 0.014607, (use_barrier: 0, ranks: ./a.out)
rank 16, test 1, use_barrier 1time in seconds: 0.015543, (use_barrier: 1, ranks: ./a.out)
rank 16, test 2, use_barrier 0time in seconds: 0.013860, (use_barrier: 0, ranks: ./a.out)
rank 16, test 2, use_barrier 1time in seconds: 0.014332, (use_barrier: 1, ranks: ./a.out)
rank 16, test 3, use_barrier 0time in seconds: 0.014039, (use_barrier: 0, ranks: ./a.out)
rank 16, test 3, use_barrier 1time in seconds: 0.014891, (use_barrier: 1, ranks: ./a.out)
rank 16, test 4, use_barrier 0time in seconds: 0.013242, (use_barrier: 0, ranks: ./a.out)
rank 16, test 4, use_barrier 1time in seconds: 0.014564, (use_barrier: 1, ranks: ./a.out)
rank 16, test 5, use_barrier 0time in seconds: 0.014148, (use_barrier: 0, ranks: ./a.out)
rank 16, test 5, use_barrier 1time in seconds: 0.015466, (use_barrier: 1, ranks: ./a.out)
rank 16, test 6, use_barrier 0time in seconds: 0.013291, (use_barrier: 0, ranks: ./a.out)
rank 16, test 6, use_barrier 1time in seconds: 0.019025, (use_barrier: 1, ranks: ./a.out)
rank 16, test 7, use_barrier 0time in seconds: 0.013916, (use_barrier: 0, ranks: ./a.out)
rank 16, test 7, use_barrier 1time in seconds: 0.015903, (use_barrier: 1, ranks: ./a.out)
rank 32, test 1, use_barrier 0time in seconds: 0.011033, (use_barrier: 0, ranks: ./a.out)
rank 32, test 1, use_barrier 1time in seconds: 0.009262, (use_barrier: 1, ranks: ./a.out)
rank 32, test 2, use_barrier 0time in seconds: 0.008141, (use_barrier: 0, ranks: ./a.out)
rank 32, test 2, use_barrier 1time in seconds: 0.008570, (use_barrier: 1, ranks: ./a.out)
rank 32, test 3, use_barrier 0time in seconds: 0.009638, (use_barrier: 0, ranks: ./a.out)
