timestamp: Sat Feb 16 07:44:21 EST 201
rank,test,barrier,time
1,1,0,0.208616
1,1,1,0.206805
1,2,0,0.202099
1,2,1,0.203671
1,3,0,0.204970
1,3,1,0.201929
1,4,0,0.210063
1,4,1,0.205880
1,5,0,0.211422
1,5,1,0.207007
1,6,0,0.216635
1,6,1,0.203775
1,7,0,0.207319
1,7,1,0.204728
2,1,0,0.137977
2,1,1,0.127941
2,2,0,0.133577
2,2,1,0.138256
2,3,0,0.132965
2,3,1,0.139668
2,4,0,0.147857
2,4,1,0.139469
2,5,0,0.154880
2,5,1,0.136839
2,6,0,0.148837
2,6,1,0.141916
2,7,0,0.144845
2,7,1,0.148696
4,1,0,0.103974
4,1,1,0.106410
4,2,0,0.111163
4,2,1,0.104634
4,3,0,0.102865
4,3,1,0.106663
4,4,0,0.088527
4,4,1,0.109637
4,5,0,0.111554
4,5,1,0.102220
4,6,0,0.103548
4,6,1,0.104706
4,7,0,0.094108
4,7,1,0.109444
8,1,0,0.090699
8,1,1,0.072624
8,2,0,0.074645
8,2,1,0.071366
8,3,0,0.087459
8,3,1,0.081431
8,4,0,0.084298
8,4,1,0.083564
8,5,0,0.089759
8,5,1,0.084102
8,6,0,0.072858
8,6,1,0.096692
8,7,0,0.077943
8,7,1,0.087198
16,1,0,0.079050
16,1,1,0.062700
16,2,0,0.086557
16,2,1,0.080248
16,3,0,0.078680
16,3,1,0.063524
16,4,0,0.075765
16,4,1,0.063729
16,5,0,0.091573
16,5,1,0.075309
16,6,0,0.072657
16,6,1,0.076886
16,7,0,0.085431
16,7,1,0.085653
32,1,0,0.073704
32,1,1,0.093200
32,2,0,0.083960
32,2,1,0.087110
32,3,0,0.064921
32,3,1,0.086703
32,4,0,0.065041
32,4,1,0.087357
32,5,0,0.086110
32,5,1,0.086465
32,6,0,0.072001
32,6,1,0.088296
32,7,0,0.069485
32,7,1,0.090698
1,1,0,0.202452
1,1,1,0.208312
1,2,0,0.211575
1,2,1,0.207822
1,3,0,0.207398
1,3,1,0.204062
