timestamp: Fri Feb 15 22:23:29 EST 2019
rank,test,barrier,time
1,1,0,0.293031
1,1,1,0.302995
1,2,0,0.288554
1,2,1,0.286824
1,3,0,0.289317
1,3,1,0.289032
1,4,0,0.293236
1,4,1,0.291569
1,5,0,0.282992
1,5,1,0.288825
1,6,0,0.306557
1,6,1,0.322573
1,7,0,0.300372
1,7,1,0.299243
2,1,0,0.238792
2,1,1,0.241228
2,2,0,0.224507
2,2,1,0.224113
2,3,0,0.219791
2,3,1,0.223371
2,4,0,0.242929
2,4,1,0.227069
2,5,0,0.228119
2,5,1,0.222954
2,6,0,0.242633
2,6,1,0.245322
2,7,0,0.240329
2,7,1,0.241827
4,1,0,0.235429
4,1,1,0.224677
4,2,0,0.215960
4,2,1,0.02054
4,3,0,0.207396
4,3,1,0.207151
4,4,0,0.191748
4,4,1,0.212433
4,5,0,0.211662
4,5,1,0.212619
4,6,0,0.233094
4,6,1,0.220537
4,7,0,0.232345
4,7,1,0.232167
8,1,0,0.216991
8,1,1,0.209439
8,2,0,0.212922
8,2,1,0.212273
8,3,0,0.208707
8,3,1,0.183861
8,4,0,0.238615
8,4,1,0.206366
8,5,0,0.224159
8,5,1,0.232209
8,6,0,0.239231
8,6,1,0.250122
8,7,0,0.216171
8,7,1,0.249900
16,1,0,0.233674
16,1,1,0.211676
16,2,0,0.232398
16,2,1,0.248789
16,3,0,0.155524
16,3,1,0.163207
16,4,0,0.226652
16,4,1,0.213901
16,5,0,0.225903
16,5,1,0.149946
16,6,0,0.201283
16,6,1,0.200188
16,7,0,0.234934
16,7,1,0.261766
32,1,0,0.258296
32,1,1,0.252616
32,2,0,0.227744
32,2,1,0.233466
32,3,0,0.237310
32,3,1,0.232382
32,4,0,0.231627
32,4,1,0.233529
32,5,0,0.158296
32,5,1,0.208555
32,6,0,0.255754
32,6,1,0.186955
32,7,0,0.207345
32,7,1,0.250070
1,1,0,0.299027
1,1,1,0.304565
1,2,0,0.288342
1,2,1,0.297706
1,3,0,0.289227
1,3,1,0.287543
1,4,0,0.292093
1,4,1,0.294579
1,5,0,0.303962
1,5,1,0.291010
1,6,0,0.301940
1,6,1,0.304045
1,7,0,0.302333
1,7,1,0.307730
2,1,0,0.239662
2,1,1,0.241164
2,2,0,0.223667
2,2,1,0.238438
2,3,0,0.227181
2,3,1,0.227439
2,4,0,0.228281
2,4,1,0.234361
2,5,0,0.250481
2,5,1,0.224637
2,6,0,0.249351
2,6,1,0.261575
2,7,0,0.284771
2,7,1,0.245049
4,1,0,0.230376
4,1,1,0.226718
4,2,0,0.205356
4,2,1,0.208810
4,3,0,0.210834
4,3,1,0.212791
4,4,0,0.220189
4,4,1,0.218143
4,5,0,0.204138
4,5,1,0.212009
4,6,0,0.235014
4,6,1,0.223901
4,7,0,0.227643
4,7,1,0.231730
8,1,0,0.225231
8,1,1,0.265495
8,2,0,0.200217
8,2,1,0.198498
8,3,0,0.186443
8,3,1,0.251765
8,4,0,0.236194
8,4,1,0.250243
8,5,0,0.207296
8,5,1,0.211173
8,6,0,0.254347
8,6,1,0.238861
8,7,0,0.249693
8,7,1,0.216791
16,1,0,0.218676
16,1,1,0.253701
16,2,0,0.184422
16,2,1,0.179584
16,3,0,0.191603
16,3,1,0.246777
16,4,0,0.232581
16,4,1,0.211251
16,5,0,0.180814
16,5,1,0.241059
16,6,0,0.211544
16,6,1,0.220657
16,7,0,0.161577
16,7,1,0.263802
32,1,0,0.242832
32,1,1,0.241222
32,2,0,0.172013
32,2,1,0.151037
32,3,0,0.233867
32,3,1,0.220396
32,4,0,0.177198
32,4,1,0.208810
32,5,0,0.194446
32,5,1,0.245764
32,6,0,0.248667
32,6,1,0.225991
32,7,0,0.257928
32,7,1,0.182791
1,1,0,0.300952
1,1,1,0.300505
1,2,0,0.288428
1,2,1,0.292463
1,3,0,0.289290
1,3,1,0.291180
1,4,0,0.296739
1,4,1,0.287355
1,5,0,0.298619
1,5,1,0.291720
1,6,0,0.320926
1,6,1,0.306956
1,7,0,0.304509
1,7,1,0.301690
2,1,0,0.247210
2,1,1,0.243733
2,2,0,0.226294
2,2,1,0.231918
2,3,0,0.228743
2,3,1,0.225329
2,4,0,0.234592
2,4,1,0.238339
2,5,0,0.228664
2,5,1,0.229562
2,6,0,0.240128
2,6,1,0.246339
2,7,0,0.249463
2,7,1,0.246933
4,1,0,0.231263
4,1,1,0.204365
4,2,0,0.215173
4,2,1,0.213190
4,3,0,0.204397
4,3,1,0.203096
4,4,0,0.218317
4,4,1,0.222296
4,5,0,0.204736
4,5,1,0.214171
4,6,0,0.221776
4,6,1,0.223517
4,7,0,0.232175
4,7,1,0.225350
8,1,0,0.249133
8,1,1,0.223542
8,2,0,0.183668
8,2,1,0.184237
8,3,0,0.229585
8,3,1,0.226026
8,4,0,0.211333
8,4,1,0.228394
8,5,0,0.169657
8,5,1,0.206231
8,6,0,0.259391
8,6,1,0.230885
8,7,0,0.173124
8,7,1,0.241445
16,1,0,0.202959
16,1,1,0.202344
16,2,0,0.248244
16,2,1,0.220803
16,3,0,0.230072
16,3,1,0.184793
16,4,0,0.211139
16,4,1,0.180984
16,5,0,0.230210
16,5,1,0.203326
16,6,0,0.200050
16,6,1,0.211453
16,7,0,0.243479
16,7,1,0.231617
32,1,0,0.199151
32,1,1,0.215576
32,2,0,0.207082
32,2,1,0.179202
32,3,0,0.219687
32,3,1,0.173944
32,4,0,0.211131
32,4,1,0.239166
32,5,0,0.166961
32,5,1,0.220193
32,6,0,0.204687
32,6,1,0.213071
32,7,0,0.220754
32,7,1,0.219382
1,1,0,0.308461
1,1,1,0.299731
1,2,0,0.290363
1,2,1,0.288036
1,3,0,0.289805
1,3,1,0.286764
1,4,0,0.290132
1,4,1,0.289709
1,5,0,0.286854
1,5,1,0.287011
1,6,0,0.299675
1,6,1,0.319376
1,7,0,0.322398
1,7,1,0.299838
2,1,0,0.241104
2,1,1,0.243497
2,2,0,0.225056
2,2,1,0.227108
2,3,0,0.213794
2,3,1,0.222880
2,4,0,0.248449
2,4,1,0.235514
2,5,0,0.218078
2,5,1,0.228981
2,6,0,0.241861
2,6,1,0.248010
2,7,0,0.243690
2,7,1,0.246743
4,1,0,0.227626
4,1,1,0.220577
