test,time
1,0.047063 
2,0.047098 
3,0.045083 
4,0.044894 
5,0.046233 
6,0.046899 
7,0.047317 
1,0.047903 
2,0.048339 
3,0.044385 
4,0.044369 
5,0.047486 
6,0.044890 
7,0.047385 
1,0.047007 
2,0.046951 
3,0.047548 
4,0.047729 
5,0.047343 
6,0.045394 
7,0.047818 
1,0.044579 
2,0.046933 
3,0.047704 
4,0.046058 
5,0.047231 
6,0.046560 
7,0.047493 
1,0.047993 
2,0.047812 
3,0.046986 
4,0.044908 
5,0.047714 
6,0.047947 
7,0.046702 
1,0.048209 
2,0.047829 
3,0.047653 
4,0.046832 
5,0.047900 
6,0.046724 
7,0.044505 
1,0.047733 
2,0.045976 
3,0.045521 
4,0.044703 
5,0.047186 
6,0.048167 
7,0.047551 
1,0.045548 
2,0.048572 
3,0.046715 
4,0.047638 
5,0.048092 
6,0.047710 
7,0.047328 
1,0.047714 
2,0.048585 
3,0.047456 
4,0.048678 
5,0.048210 
6,0.048327 
7,0.047988 
1,0.046569 
2,0.046399 
3,0.046622 
4,0.047566 
5,0.047907 
6,0.047028 
7,0.047573 
