test,time
1,0.159667 
2,0.151856 
3,0.156052 
4,0.157416 
5,0.155717 
6,0.161119 
7,0.156568 
1,0.164149 
2,0.136206 
3,0.153993 
4,0.154681 
5,0.137714 
6,0.161656 
7,0.165538 
1,0.162567 
2,0.154233 
3,0.151205 
4,0.156216 
5,0.154640 
6,0.159910 
7,0.162370 
1,0.162676 
2,0.154222 
3,0.151229 
4,0.156591 
5,0.154502 
6,0.166753 
7,0.160501 
1,0.163953 
2,0.150119 
3,0.156788 
4,0.157345 
5,0.156738 
6,0.164965 
7,0.162030 
1,0.165031 
2,0.155965 
3,0.148327 
4,0.153985 
5,0.152519 
6,0.166011 
7,0.161475 
1,0.164204 
2,0.150978 
3,0.155316 
4,0.160672 
5,0.153495 
6,0.156635 
7,0.166604 
1,0.147871 
2,0.151890 
3,0.150926 
4,0.154302 
5,0.151422 
6,0.165084 
7,0.168036 
1,0.162145 
2,0.155995 
3,0.154056 
4,0.153567 
5,0.152542 
6,0.165306 
7,0.162250 
1,0.164916 
2,0.150988 
3,0.153743 
4,0.153519 
5,0.153843 
6,0.164872 
7,0.164202 
